线路名,起点,终点,运营日期,首班车时间,末班车时间,票价,折扣方式,具体站点信息
881路,九顶塔,仲宫,发车时间,7:00,18:00,1元,济南公交刷卡、支付宝八折优惠,站点详情
882路,核桃园,英雄山立交桥南,发车时间,6:00,16:40,2元,济南公交刷卡、支付宝八折优惠,站点详情
882路,英雄山立交桥南,核桃园,发车时间,7:20,18:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
883路,青年桥,长峪,发车时间,7:20,17:30,3元,济南公交刷卡、支付宝八折优惠,站点详情
883路,长峪,青年桥,发车时间,6:00,15:40,3元,济南公交刷卡、支付宝八折优惠,站点详情
885路,青年桥,药乡国家森林公园,发车时间,8:30,17:05,3元,济南公交刷卡、支付宝八折优惠,站点详情
885路,药乡国家森林公园,青年桥,发车时间,5:50,13:50,3元,济南公交刷卡、支付宝八折优惠,站点详情
886路,青年桥,石庙岭,发车时间,9:30,17:00,3元,济南公交刷卡、支付宝八折优惠,站点详情
886路,石庙岭,青年桥,发车时间,6:00,13:40,3元,济南公交刷卡、支付宝八折优惠,站点详情
887路,仲宫,高家庄,发车时间,7:00,18:00,1元,济南公交刷卡、支付宝八折优惠,站点详情
887路,高家庄,仲宫,发车时间,5:40,16:40,1元,济南公交刷卡、支付宝八折优惠,站点详情
888路,仲宫,核桃园,发车时间,7:30,18:40,1元,济南公交刷卡、支付宝八折优惠,站点详情
888路,核桃园,仲宫,发车时间,6:00,17:50,1元,济南公交刷卡、支付宝八折优惠,站点详情
889路,青年桥,金刚纂,发车时间,17:05,17:05,3元,济南公交刷卡、支付宝八折优惠,站点详情
889路,金刚纂,青年桥,发车时间,5:40,5:40,3元,济南公交刷卡、支付宝八折优惠,站点详情
880路,仲宫,北井村,发车时间,5:45,18:00,1元,济南公交刷卡、支付宝八折优惠,站点详情
880路,北井村,仲宫,发车时间,6:20,18:45,1元,济南公交刷卡、支付宝八折优惠,站点详情
809路,仲宫,老庄村,发车时间,8:10,18:00,1元,济南公交刷卡、支付宝八折优惠,站点详情
809路,老庄村,仲宫,发车时间,6:00,16:30,1元,济南公交刷卡、支付宝八折优惠,站点详情
811路,仲宫,杨而,发车时间,6:50,18:00,1元,济南公交刷卡、支付宝八折优惠,站点详情
811路,杨而,仲宫,发车时间,6:20,17:30,1元,济南公交刷卡、支付宝八折优惠,站点详情
812路,仲宫,水帘峡,发车时间,7:40,17:40,2元,济南公交刷卡、支付宝八折优惠,站点详情
812路,水帘峡,仲宫,发车时间,6:00,16:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
813路,仲宫,马家村,发车时间,7:00,18:30,1元,济南公交刷卡、支付宝八折优惠,站点详情
813路,马家村,仲宫,发车时间,6:00,17:00,1元,济南公交刷卡、支付宝八折优惠,站点详情
